engines-provider	322	-
qwenloop-edit-tool	346	-
qwenloop-request-timeout	345	qwenloop-edit-tool
qwenloop-run-telemetry	382	qwenloop-request-timeout
qwenloop-toolcall-retry	386	qwenloop-run-telemetry
default-model-p1	387	qwenloop-toolcall-retry
default-model-p2	388	default-model-p1
default-model-p3	389	default-model-p1
install-ollama	391	default-model-p1,installer-catalogue,installer-host-runner,installer-orchestrator
surfaces-env	323	-
engines-pool	321	engines-provider
visual-design-provider	324	split-324-1-visual-provider,split-324-2-visual-cli
chart-operator-forgejo-p1	326	-
opencodeloop-parity-p1	328	-
openstack-client-p1	330	split-330-1-deploy-target-config,split-330-2-scope-digest,split-330-3-spec-follows-target,split-330-4-az-scope-guard
chart-operator-forgejo-p2	327	chart-operator-forgejo-p1
opencodeloop-parity-p2	329	opencodeloop-parity-p1
openstack-client-p2	331	split-331-1-heat-renderer,split-331-2-openstack-cli-adapter,split-331-3-az-preflight,split-331-4-worker-cloud-flag,split-331-5-openstack-installer
forge-0a	332	split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve
forge-0b	333	split-333-1-facts-translators,split-333-2-change-request-reads,split-333-3-change-request-text
forge-0c	334	split-334-1-labelled-listings,split-334-2-open-branches,split-334-3-wait-for-checks
forge-0d	335	split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels
forge-0e	336	split-336-1-issue-reads,split-336-2-comment-writes,split-336-3-review-comment,split-336-4-review-threads
forge-0f	337	split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve,split-333-1-facts-translators,split-333-2-change-request-reads,split-333-3-change-request-text,split-334-1-labelled-listings,split-334-2-open-branches,split-334-3-wait-for-checks,split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels,split-336-1-issue-reads,split-336-2-comment-writes,split-336-3-review-comment,split-336-4-review-threads
forge-0g	338	split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve,split-333-1-facts-translators,split-333-2-change-request-reads,split-333-3-change-request-text,split-334-1-labelled-listings,split-334-2-open-branches,split-334-3-wait-for-checks,split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels,split-336-1-issue-reads,split-336-2-comment-writes,split-336-3-review-comment,split-336-4-review-threads,forge-0f
forge-1	339	forge-0g,split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve,split-333-1-facts-translators,split-333-2-change-request-reads,split-333-3-change-request-text,split-334-1-labelled-listings,split-334-2-open-branches,split-334-3-wait-for-checks,split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels
forge-2	340	forge-0g,split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve,split-333-1-facts-translators,split-333-2-change-request-reads,split-333-3-change-request-text,split-334-1-labelled-listings,split-334-2-open-branches,split-334-3-wait-for-checks,split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels
forge-3	341	split-341-1-reconcile,split-341-2-release-publication
forge-4	342	split-342-1-state-comment,split-342-2-pr-automation,split-342-3-fork-mirror,split-342-4-install-notices
forge-5	343	forge-0g,split-342-1-state-comment,split-332-1-transport-seams,split-332-2-adapter-paging,split-332-3-repository-name,split-332-4-selector-resolve,split-335-1-create-edit-merge,split-335-2-ready-close-comment,split-335-3-labels,split-336-1-issue-reads,split-336-2-comment-writes,split-336-3-review-comment,split-336-4-review-threads
forge-6	344	split-344-1-rulesets,split-344-2-flatten
rmq-r01-queue-config	348	-
rmq-r02-wakeup-composition	349	-
rmq-r03-amqp-dependency	350	-
rmq-r05-async-outbox	352	orm-bootstrap-async-engine
rmq-r06-job-dispatch-envelope	353	-
rmq-r08-dispatch-migration	355	-
rmq-r09-reap-bound	356	orm-job-settle,orm-job-statements-enqueue,orm-job-statements-settle,orm-job-enqueue,orm-tables,orm-database-seam,orm-test-harness,fakes-queue-gates
rmq-r20-run-dir-extraction	367	split-367-1-run-dir,split-367-2-process-launcher
rmq-r04-bootstrap-amqp	351	split-351-1-amqp-contract,split-351-2-amqp-client
rmq-r07-dispatch-miss-policy	354	rmq-r06-job-dispatch-envelope
